FREQ,Frequenza,REG_VEHI_AREA,Territorio di immatricolazione automezzo,DATA_TYPE,Indicatore,REG_LOADING,Territorio di carico,REG_UNLOADING,Territorio di scarico,GOODS_TRANSPORT_NST_2007,Tipo di merce (NST 2007),TITLE_OF_TRANSPORT,Titolo di trasporto,DISTANCE_CLASS,Classe di percorrenza,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',IT,Italia,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,223109,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',IT,Italia,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,1029401,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',IT,Italia,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,1252510,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITC3,Liguria,IT,Italia,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,1443198,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITC3,Liguria,IT,Italia,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,27013825,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITC3,Liguria,IT,Italia,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,28457023,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITC4,Lombardia,IT,Italia,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,33160465,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITC4,Lombardia,IT,Italia,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,190317991,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITC4,Lombardia,IT,Italia,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,223478457,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITDA,Trentino Alto Adige,IT,Italia,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,8959563,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITDA,Trentino Alto Adige,IT,Italia,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,27238468,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITDA,Trentino Alto Adige,IT,Italia,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,36198031,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITD1,Provincia Autonoma Bolzano / Bozen,IT,Italia,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,5494487,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITD1,Provincia Autonoma Bolzano / Bozen,IT,Italia,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,15851527,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITD1,Provincia Autonoma Bolzano / Bozen,IT,Italia,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,21346013,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITD2,Provincia Autonoma Trento,IT,Italia,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,3465076,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITD2,Provincia Autonoma Trento,IT,Italia,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,11386942,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITD2,Provincia Autonoma Trento,IT,Italia,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,14852018,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITD3,Veneto,IT,Italia,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,25381986,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITD3,Veneto,IT,Italia,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,130327318,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITD3,Veneto,IT,Italia,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,155709304,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITD4,Friuli-Venezia Giulia,IT,Italia,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,2879998,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITD4,Friuli-Venezia Giulia,IT,Italia,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,22906916,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITD4,Friuli-Venezia Giulia,IT,Italia,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,25786914,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITD5,Emilia-Romagna,IT,Italia,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,10560050,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITD5,Emilia-Romagna,IT,Italia,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,118055217,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITD5,Emilia-Romagna,IT,Italia,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,128615266,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITE1,Toscana,IT,Italia,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,6583473,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITE1,Toscana,IT,Italia,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,54933814,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITE1,Toscana,IT,Italia,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,61517287,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITE2,Umbria,IT,Italia,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,1853029,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITE2,Umbria,IT,Italia,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,15048148,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITE2,Umbria,IT,Italia,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,16901177,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITE3,Marche,IT,Italia,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,5491184,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITE3,Marche,IT,Italia,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,17697943,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITE3,Marche,IT,Italia,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,23189127,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITE4,Lazio,IT,Italia,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,4572213,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITE4,Lazio,IT,Italia,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,40320864,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITE4,Lazio,IT,Italia,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,44893077,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITF1,Abruzzo,IT,Italia,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,2916618,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITF1,Abruzzo,IT,Italia,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,13024688,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITF1,Abruzzo,IT,Italia,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,15941307,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITF2,Molise,IT,Italia,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,396774,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITF2,Molise,IT,Italia,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,4389754,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITF2,Molise,IT,Italia,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,4786529,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITF3,Campania,IT,Italia,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,4789631,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITF3,Campania,IT,Italia,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,43223265,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITF3,Campania,IT,Italia,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,48012896,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITF4,Puglia,IT,Italia,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,4728339,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITF4,Puglia,IT,Italia,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,28467140,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITF4,Puglia,IT,Italia,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,33195479,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITF5,Basilicata,IT,Italia,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,688740,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITF5,Basilicata,IT,Italia,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,6308728,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITF5,Basilicata,IT,Italia,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,6997468,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITF6,Calabria,IT,Italia,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,2240277,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITF6,Calabria,IT,Italia,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,8761890,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITF6,Calabria,IT,Italia,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,11002166,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITG1,Sicilia,IT,Italia,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,5065265,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITG1,Sicilia,IT,Italia,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,29539526,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITG1,Sicilia,IT,Italia,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,34604791,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITG2,Sardegna,IT,Italia,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,2431334,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITG2,Sardegna,IT,Italia,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,17327510,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,ITG2,Sardegna,IT,Italia,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,19758844,,
A,Annuale,IT,Italia,GC_TKM,Merce trasportata - tonnellate-chilometro (migliaia),IT,Italia,IT,Italia,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,6735485,,
