FREQ,Frequenza,REG_VEHI_AREA,Territorio di immatricolazione automezzo,DATA_TYPE,Indicatore,REG_LOADING,Territorio di carico,REG_UNLOADING,Territorio di scarico,GOODS_TRANSPORT_NST_2007,Tipo di merce (NST 2007),TITLE_OF_TRANSPORT,Titolo di trasporto,DISTANCE_CLASS,Classe di percorrenza,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITE4,Lazio,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,4710191,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITE4,Lazio,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,43609100,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITE4,Lazio,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,48319292,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITF1,Abruzzo,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,2856524,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITF1,Abruzzo,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,13257647,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITF1,Abruzzo,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,16114171,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITF2,Molise,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,470950,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITF2,Molise,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,4402582,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITF2,Molise,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,4873532,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITF3,Campania,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,5282132,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITF3,Campania,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,42034657,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITF3,Campania,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,47316789,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITF4,Puglia,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,4347221,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITF4,Puglia,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,27951518,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITF4,Puglia,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,32298739,,
