FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,NAVIGATION_TRTYPE,Forma di navigazione,PORT_EMB_DISEMB,Porto di imbarco e sbarco,TYPE_OF_CARGO,Tipo di carico,GOODS_TRANSPORT_NSTR,Tipo merce (NST/R 2002),GOODS_TRANSPORT_NST_2007,Tipo di merce (NST 2007),COUNTRY_PREV_NEXT,Paese di origine o destinazione,MAR_REG_LOADING,Regione italiana di imbarco,MAR_REG_UNLOADING,Regione italiana,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,IT,Italia,VN,Numero navi arrivate,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITF2,Molise,2023,500,,
A,Annuale,IT,Italia,VN,Numero navi arrivate,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITF3,Campania,2023,118566,,
A,Annuale,IT,Italia,VN,Numero navi arrivate,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITF4,Puglia,2023,6430,,
A,Annuale,IT,Italia,VN,Numero navi arrivate,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITF6,Calabria,2023,57692,,
A,Annuale,IT,Italia,VN,Numero navi arrivate,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITG1,Sicilia,2023,96874,,
A,Annuale,IT,Italia,VN,Numero navi arrivate,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITG2,Sardegna,2023,62937,,
A,Annuale,IT,Italia,VN,Numero navi arrivate,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,IT_NAL,'Italy, not allocated',2023,1947,,
A,Annuale,IT,Italia,GT,Stazza lorda navi arrivate - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,IT,Italia,2023,2844367,,
A,Annuale,IT,Italia,GT,Stazza lorda navi arrivate - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITC3,Liguria,2023,431875,,
A,Annuale,IT,Italia,GT,Stazza lorda navi arrivate - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITD3,Veneto,2023,64281,,
A,Annuale,IT,Italia,GT,Stazza lorda navi arrivate - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITD4,Friuli-Venezia Giulia,2023,102623,,
A,Annuale,IT,Italia,GT,Stazza lorda navi arrivate - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITD5,Emilia-Romagna,2023,54589,,
A,Annuale,IT,Italia,GT,Stazza lorda navi arrivate - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITE1,Toscana,2023,375023,,
A,Annuale,IT,Italia,GT,Stazza lorda navi arrivate - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITE3,Marche,2023,42492,,
A,Annuale,IT,Italia,GT,Stazza lorda navi arrivate - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITE4,Lazio,2023,187004,,
A,Annuale,IT,Italia,GT,Stazza lorda navi arrivate - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITF1,Abruzzo,2023,3477,,
A,Annuale,IT,Italia,GT,Stazza lorda navi arrivate - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITF2,Molise,2023,288,,
A,Annuale,IT,Italia,GT,Stazza lorda navi arrivate - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITF3,Campania,2023,308430,,
A,Annuale,IT,Italia,GT,Stazza lorda navi arrivate - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITF4,Puglia,2023,133708,,
A,Annuale,IT,Italia,GT,Stazza lorda navi arrivate - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITF6,Calabria,2023,313693,,
A,Annuale,IT,Italia,GT,Stazza lorda navi arrivate - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITG1,Sicilia,2023,471601,,
A,Annuale,IT,Italia,GT,Stazza lorda navi arrivate - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITG2,Sardegna,2023,332907,,
A,Annuale,IT,Italia,GT,Stazza lorda navi arrivate - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,IT_NAL,'Italy, not allocated',2023,22376,,
